project_id,severity,tag,subtags,description,source
19000d572f72,High,Access Control,['Invalid Validation'],"In AxelarGatewayMultisig._execute(), the validation of signers uses _isSortedAscAndContainsNoDuplicate() which only checks for sorted order and duplicates, but does not validate that signers is non-empty. An empty signers array would pass this check and could allow execution without proper authorization.",llm
19000d572f72,High,Logic error,['State Update Inconsistency'],"In AxelarGatewayMultisig._execute(), the command execution sets _setCommandExecuted(commandId, true) before calling the command, then updates it to the actual success/failure result. If a command reverts during execution, the state is correctly updated to false, but there is a logical issue: the initial true setting prevents reentrancy but creates a window where isCommandExecuted() reports true for a failed command until the state is corrected.",llm
19000d572f72,Medium,Input Validation,['Missing Upper/Lower Bound Check'],"In AdminMultisigBase._setAdmins(), the function accepts arrays of admin addresses but does not validate that the arrays are non-empty or that threshold is reasonable relative to the admin count. While there is a check that adminLength >= threshold, there is no check that the threshold is at least 1 before being used, which could allow threshold to equal 0 in edge cases.",llm
19000d572f72,Medium,Access Control,['Invalid Validation'],"In AxelarGatewayMultisig._execute(), the authority checks for SELECTOR_TRANSFER_OWNERSHIP and SELECTOR_TRANSFER_OPERATORSHIP require areValidCurrentOwners, but this variable is only set to true when signerRole == Role.Owner. If signerRole is Role.Operator, areValidCurrentOwners remains false and the operation will be skipped, even if the current owners should be able to perform it.",llm
19000d572f72,Medium,Access Control,['Invalid Validation'],"In AxelarGatewaySinglesig._execute(), the authority checks for SELECTOR_TRANSFER_OWNERSHIP and SELECTOR_TRANSFER_OPERATORSHIP require isCurrentOwner, but this variable is only set when signerRole == Role.Owner. If signerRole is Role.Operator, isCurrentOwner remains false even if the signer is the current owner, preventing valid ownership transfer commands from executing.",llm
19000d572f72,Medium,Logic error,['Bad Condition'],"In AxelarGateway._burnTokenFrom() for TokenType.InternalBurnable, the function transfers tokens to depositAddress(bytes32(0)) and then calls BurnableMintableCappedERC20(tokenAddress).burn(bytes32(0)). However, the salt used for depositAddress generation should match the salt used in burn() to ensure the correct deposit address is targeted, and using bytes32(0) as a constant salt may not be the intended behavior.",llm
19000d572f72,Medium,Access Control,['State Update Inconsistency'],"In AdminMultisigBase.onlyAdmin(), the modifier clears all vote counts and voted flags at the end of execution. However, if the guarded function reverts, the state is still cleared by the modifier executing after the revert, which could leave the system in an inconsistent state where votes are lost but the operation failed.",llm
29aba850d512,High,Logic error,"['Invalid Validation', 'State Update Inconsistency']","In RedeemQueue.redeem(), when a user submits a redemption request, the function deducts fees from the shares but does not synchronize the totalPendingShares accounting with the fee deduction. The shares variable is reduced by fees (shares -= fees), but $.totalPendingShares += shares uses the already-reduced value, causing the internal accounting to be inconsistent with the actual shares submitted for redemption.",llm
29aba850d512,High,Logic error,['State Update Inconsistency'],"In RedeemQueue.claim(), when redeeming claimable requests, the function modifies batch.assets and batch.shares in storage within the loop (batch.assets -= assets_; batch.shares -= shares;). However, these modifications persist across iterations and can affect subsequent batch calculations if the same batch index is accessed again through a different timestamp, leading to incorrect asset and share allocations.",llm
29aba850d512,High,Arithmetic,"['Incorrect Formula', 'Precision Loss']","In RiskManager.convertToShares(), when converting negative asset values to shares, the function applies the price conversion directly: return -int256(Math.mulDiv(uint256(-value), report.priceD18, 1 ether)). This inverts the semantics of the conversion—it should divide by the price for negative values (to get shares) but the formula treats it symmetrically with positive conversions, causing incorrect negative share calculations for balance modifications.",llm
